calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood,workout_type_encoded,weather_conditions_encoded,location_encoded,mood_encoded,calories_burned_normalized,distance_km_normalized,active_minutes_normalized,sleep_hours_normalized,heart_rate_avg_normalized
2183.11,7.83,224,10.1,165,Cycling,Rain,Home,Stressed,0,2,1,2,0.273230929,0.3915,0.155663655,0.841666667,0.882352941
3868.71,1.9,1070,0.2,176,Cycling,Rain,Home,Stressed,0,2,1,2,0.9474979,0.095,0.743571925,0.016666667,0.974789916
1873.12,1.91,678,10.7,151,Cycling,Clear,Home,Neutral,0,0,1,1,0.149229969,0.0955,0.471160528,0.891666667,0.764705882
2301.58,6.91,926,11.1,132,Cycling,Snow,Gym,Tired,0,3,0,3,0.320620825,0.3455,0.643502432,0.925,0.605042017
3663.72,16.49,305,1.6,169,Cycling,Rain,Home,Stressed,0,2,1,2,0.86549862,0.8245,0.211952745,0.133333333,0.915966387
1899.89,12.74,373,10.8,85,Cycling,Snow,Gym,Stressed,0,3,0,2,0.159938398,0.637,0.259207783,0.9,0.210084034
3969.76,17.8,887,6.6,86,Cycling,Fog,Park,Happy,0,1,2,0,0.987919517,0.89,0.616400278,0.55,0.218487395
3000.87,19.23,480,11.5,96,Cycling,Snow,Home,Stressed,0,3,1,2,0.600348014,0.9615,0.333564976,0.958333333,0.302521008
3069.95,2.46,688,2.9,164,Cycling,Clear,Park,Happy,0,0,2,0,0.627981119,0.123,0.478109798,0.241666667,0.87394958
3768.85,13.37,6,11.8,126,Cycling,Snow,Park,Neutral,0,3,2,1,0.907552302,0.6685,0.004169562,0.983333333,0.554621849
1919.92,18.43,1082,6.1,128,Cycling,Fog,Gym,Stressed,0,1,0,2,0.167950718,0.9215,0.751911049,0.508333333,0.571428571
2796.58,8.69,232,3.6,103,Cycling,Rain,Gym,Happy,0,2,0,0,0.518628745,0.4345,0.161223072,0.3,0.361344538
2745.22,6.13,572,8.6,89,Cycling,Clear,Home,Happy,0,0,1,0,0.498083923,0.3065,0.397498263,0.716666667,0.243697479
2279.51,1.53,335,7.7,86,Cycling,Fog,Park,Happy,0,1,2,0,0.311792472,0.0765,0.232800556,0.641666667,0.218487395
1710.33,16.11,525,10.3,175,Cycling,Snow,Gym,Tired,0,3,0,3,0.084111364,0.8055,0.364836692,0.858333333,0.966386555
1704.99,2.91,440,4.9,136,Cycling,Rain,Home,Happy,0,2,1,0,0.081975279,0.1455,0.305767894,0.408333333,0.638655462
2747.71,6.3,1143,3.8,99,Cycling,Fog,Home,Stressed,0,1,1,2,0.499079963,0.315,0.794301598,0.316666667,0.327731092
2627.35,3.5,1383,7.6,73,Cycling,Rain,Gym,Neutral,0,2,0,1,0.450934037,0.175,0.961084086,0.633333333,0.109243697
3793.64,11.32,870,6,113,Cycling,Fog,Home,Tired,0,1,1,3,0.917468699,0.566,0.604586518,0.5,0.445378151
1939.61,17.4,867,1.3,159,Cycling,Snow,Park,Tired,0,3,2,3,0.175827033,0.87,0.602501737,0.108333333,0.831932773
2717.78,19.53,171,7.4,74,Cycling,Clear,Park,Tired,0,0,2,3,0.487107484,0.9765,0.118832523,0.616666667,0.117647059
3875.43,5.29,3,5.3,158,Cycling,Snow,Gym,Neutral,0,3,0,1,0.950186007,0.2645,0.002084781,0.441666667,0.823529412
2412.59,4.7,379,5.3,113,Cycling,Rain,Park,Stressed,0,2,2,2,0.365026601,0.235,0.263377345,0.441666667,0.445378151
3792.89,18.02,1162,11.2,152,Cycling,Snow,Gym,Happy,0,3,0,0,0.917168687,0.901,0.807505212,0.933333333,0.773109244
2134.56,16.91,275,7.5,110,Cycling,Rain,Gym,Neutral,0,2,0,1,0.253810152,0.8455,0.191104934,0.625,0.420168067
1971.28,2.95,135,7,64,Cycling,Fog,Gym,Tired,0,1,0,3,0.18849554,0.1475,0.093815149,0.583333333,0.033613445
